,query,title,company,location,link
0,Cloud Architect,Cloud Architect - Principal Cloud Engineer,Nextdoor,"San Francisco, CA",https://www.linkedin.com/jobs/view/cloud-architect-principal-cloud-engineer-at-nextdoor-3405215236?refId=pjdF%2FB252JSAUvn2P3SsaQ%3D%3D&trackingId=pCioy5QtwD2fY5A47zNSZw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Cloud Architect,Cloud Solutions Architect,Capio Group,"Sacramento, CA",https://www.linkedin.com/jobs/view/cloud-solutions-architect-at-capio-group-3408072482?refId=pjdF%2FB252JSAUvn2P3SsaQ%3D%3D&trackingId=JriJ2mhvi6%2Fm72b4HjlJHA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Cloud Architect,Cloud Architect,Backroads,"Berkeley, CA",https://www.linkedin.com/jobs/view/cloud-architect-at-backroads-3429978116?refId=pjdF%2FB252JSAUvn2P3SsaQ%3D%3D&trackingId=AEFX5rILTx%2BcjK%2B7%2FAlgSQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Cloud Architect,Cloud Architect,LTI - Larsen & Toubro Infotech,"Torrance, CA",https://www.linkedin.com/jobs/view/cloud-architect-at-lti-larsen-toubro-infotech-3463322816?refId=pjdF%2FB252JSAUvn2P3SsaQ%3D%3D&trackingId=tOmojW4N0sqMHLZv4KqDSQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Cloud Architect,Cloud Architect,Infosys Consulting,"San Francisco, CA",https://www.linkedin.com/jobs/view/cloud-architect-at-infosys-consulting-3465422512?refId=pjdF%2FB252JSAUvn2P3SsaQ%3D%3D&trackingId=f3aY4mOzUhT6kHlf%2BnHOOA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Cloud Architect,Lead Cloud Architect (Cloud Infrastructure),Transcend Digital,"Irvine, CA",https://www.linkedin.com/jobs/view/lead-cloud-architect-cloud-infrastructure-at-transcend-digital-3408026324?refId=pjdF%2FB252JSAUvn2P3SsaQ%3D%3D&trackingId=FoIbItm16SXdxJHzwkxczw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Cloud Architect,Cloud Architect,LTK (formerly rewardStyle & LIKEtoKNOW.it),"San Francisco, CA",https://www.linkedin.com/jobs/view/cloud-architect-at-ltk-formerly-rewardstyle-liketoknow-it-3393078658?refId=pjdF%2FB252JSAUvn2P3SsaQ%3D%3D&trackingId=gjVW8ASWsemB8H66FPDFew%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Cloud Architect,Cloud Architect,Robert Half,"Orange County, CA",https://www.linkedin.com/jobs/view/cloud-architect-at-robert-half-3443006073?refId=pjdF%2FB252JSAUvn2P3SsaQ%3D%3D&trackingId=rqHUH23R1llKvF6r51O62A%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Cloud Architect,Cloud Infrastructure Architect,Jack in the Box,"San Diego, CA",https://www.linkedin.com/jobs/view/cloud-infrastructure-architect-at-jack-in-the-box-3469871924?refId=pjdF%2FB252JSAUvn2P3SsaQ%3D%3D&trackingId=YWUsNFYAalZh0YLi7Ms8qw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Cloud Architect,Cloud Architect,Sigmaways Inc,"San Francisco, CA",https://www.linkedin.com/jobs/view/cloud-architect-at-sigmaways-inc-3443056841?refId=pjdF%2FB252JSAUvn2P3SsaQ%3D%3D&trackingId=SbATz8VSFJm%2BR7NdogyFiw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Cloud Architect,Cloud Architect,"Omega Solutions, Inc.","Mountain View, CA",https://www.linkedin.com/jobs/view/cloud-architect-at-omega-solutions-inc-3465473105?refId=pjdF%2FB252JSAUvn2P3SsaQ%3D%3D&trackingId=Jy9g02AU7fTng8eTKXQr4g%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Cloud Architect,AWS Cloud Architect,LTI - Larsen & Toubro Infotech,"Los Angeles, CA",https://www.linkedin.com/jobs/view/aws-cloud-architect-at-lti-larsen-toubro-infotech-3469886871?refId=pjdF%2FB252JSAUvn2P3SsaQ%3D%3D&trackingId=STpt03mkMrLTxyOrcfJReg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
12,Cloud Architect,Cloud Solutions Architect,USDM Life Sciences,"Foster City, CA",https://www.linkedin.com/jobs/view/cloud-solutions-architect-at-usdm-life-sciences-3475299432?refId=pjdF%2FB252JSAUvn2P3SsaQ%3D%3D&trackingId=9FzSyDOUS4j9ssuj5KVf8Q%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
